"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Cancer Sites"	"Cancer Sites Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Mortality Age-Adjusted Rate	Incidence Counts	Incidence Age-Adjusted Rate
	"2006"	"2006"	"Alabama"	"01"	"Colon and Rectum"	"21041-21052"	0.398	975	4628981	19.861	2501	49.863
	"2006"	"2006"	"Alabama"	"01"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.096 (Unreliable)	250	4628981	4.957	234	4.523
	"2006"	"2006"	"Alabama"	"01"	"Pancreas"	"21100"	0.987	551	4628981	11.168	565	11.309
	"2006"	"2006"	"Alabama"	"01"	"Lung and Bronchus"	"22030"	0.799	3021	4628981	60.209	3828	75.339
	"2006"	"2006"	"Alabama"	"01"	"Melanoma of the Skin"	"25010"	0.160	146	4628981	2.954	908	18.436
	"2006"	"2006"	"Alabama"	"01"	"Female Breast"	"26000-Female"	0.197	660	2385480	23.628	3246	119.935
	"2006"	"2006"	"Alabama"	"01"	"Corpus Uteri"	"27020"	0.096	48	2385480	1.690	494	17.682
	"2006"	"2006"	"Alabama"	"01"	"Prostate"	"28010"	0.183	533	2243501	30.384	3775	165.957
	"2006"	"2006"	"Alabama"	"01"	"Urinary Bladder"	"29010"	0.249	214	4628981	4.444	886	17.834
	"2006"	"2006"	"Alabama"	"01"	"Kidney and Renal Pelvis"	"29020"	0.296	212	4628981	4.285	732	14.481
	"2006"	"2006"	"Alabama"	"01"	"Thyroid"	"32010"	0.059	21	4628981	0.429	352	7.246
	"2006"	"2006"	"Alabama"	"01"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.399	310	4628981	6.306	781	15.800
	"2006"	"2006"	"Alabama"	"01"	"Leukemias"	"35011-35043"	0.690	338	4628981	6.995	497	10.140
	"2006"	"2006"	"Alaska"	"02"	"Colon and Rectum"	"21041-21052"	0.321	69	675302	17.281	255	53.830
	"2006"	"2006"	"Alaska"	"02"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.663	26	675302	5.142	43	7.758
	"2006"	"2006"	"Alaska"	"02"	"Pancreas"	"21100"	0.966	49	675302	11.757	54	12.170
	"2006"	"2006"	"Alaska"	"02"	"Lung and Bronchus"	"22030"	0.621	206	675302	47.394	350	76.335
	"2006"	"2006"	"Alaska"	"02"	"Female Breast"	"26000-Female"	0.210	74	325121	27.734	371	132.191
	"2006"	"2006"	"Alaska"	"02"	"Prostate"	"28010"	0.132	28	350181	19.102	359	144.643
	"2006"	"2006"	"Alaska"	"02"	"Urinary Bladder"	"29010"	0.173	18	675302	4.094	102	23.700
	"2006"	"2006"	"Alaska"	"02"	"Thyroid"	"32010"	0.000	0	675302	0.000	69	10.616
	"2006"	"2006"	"Alaska"	"02"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.349	29	675302	7.516	112	21.525
	"2006"	"2006"	"Alaska"	"02"	"Leukemias"	"35011-35043"	0.531	39	675302	9.602	89	18.093
	"2006"	"2006"	"Arizona"	"04"	"Colon and Rectum"	"21041-21052"	0.397	920	6029141	14.962	2335	37.687
	"2006"	"2006"	"Arizona"	"04"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.829	291	6029141	4.659	354	5.618
	"2006"	"2006"	"Arizona"	"04"	"Pancreas"	"21100"	0.887	581	6029141	9.303	656	10.491
	"2006"	"2006"	"Arizona"	"04"	"Lung and Bronchus"	"22030"	0.779	2741	6029141	43.729	3527	56.153
	"2006"	"2006"	"Arizona"	"04"	"Melanoma of the Skin"	"25010"	0.178	180	6029141	2.933	1009	16.447
	"2006"	"2006"	"Arizona"	"04"	"Female Breast"	"26000-Female"	0.210	750	3026134	22.313	3471	106.152
	"2006"	"2006"	"Arizona"	"04"	"Corpus Uteri"	"27020"	0.062	41	3026134	1.217	651	19.747
	"2006"	"2006"	"Arizona"	"04"	"Prostate"	"28010"	0.143	530	3003007	20.948	4390	146.877
	"2006"	"2006"	"Arizona"	"04"	"Urinary Bladder"	"29010"	0.206	243	6029141	4.017	1219	19.494
	"2006"	"2006"	"Arizona"	"04"	"Kidney and Renal Pelvis"	"29020"	0.268	243	6029141	3.891	906	14.526
	"2006"	"2006"	"Arizona"	"04"	"Thyroid"	"32010"	0.043	33	6029141	0.540	751	12.460
	"2006"	"2006"	"Arizona"	"04"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.396	382	6029141	6.256	977	15.782
	"2006"	"2006"	"Arizona"	"04"	"Leukemias"	"35011-35043"	0.560	402	6029141	6.574	723	11.749
	"2006"	"2006"	"Arkansas"	"05"	"Colon and Rectum"	"21041-21052"	0.375	555	2821761	17.820	1483	47.529
	"2006"	"2006"	"Arkansas"	"05"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	1.169 (Unreliable)	172	2821761	5.439	150	4.651
	"2006"	"2006"	"Arkansas"	"05"	"Pancreas"	"21100"	0.973	351	2821761	11.116	359	11.419
	"2006"	"2006"	"Arkansas"	"05"	"Lung and Bronchus"	"22030"	0.829	2066	2821761	65.065	2498	78.483
	"2006"	"2006"	"Arkansas"	"05"	"Melanoma of the Skin"	"25010"	0.172	80	2821761	2.544	447	14.811
	"2006"	"2006"	"Arkansas"	"05"	"Female Breast"	"26000-Female"	0.211	411	1438428	23.745	1850	112.274
	"2006"	"2006"	"Arkansas"	"05"	"Corpus Uteri"	"27020"	0.054	17	1438428	0.961	305	17.962
	"2006"	"2006"	"Arkansas"	"05"	"Prostate"	"28010"	0.163	316	1383333	26.673	2345	163.370
	"2006"	"2006"	"Arkansas"	"05"	"Urinary Bladder"	"29010"	0.181	107	2821761	3.404	591	18.783
	"2006"	"2006"	"Arkansas"	"05"	"Kidney and Renal Pelvis"	"29020"	0.282	143	2821761	4.506	498	15.954
	"2006"	"2006"	"Arkansas"	"05"	"Non-Hodgkin Lymphoma"	"33041-33042"	0.378	217	2821761	6.897	567	18.253
	"2006"	"2006"	"Arkansas"	"05"	"Leukemias"	"35011-35043"	0.689	245	2821761	7.953	355	11.551
	"2006"	"2006"	"California"	"06"	"Colon and Rectum"	"21041-21052"	0.352	5133	36021202	15.619	14699	44.315
	"2006"	"2006"	"California"	"06"	"Liver and Intrahepatic Bile Duct"	"21071-21072"	0.751	2155	36021202	6.449	2945	8.589
	"2006"	"2006"	"California"	"06"	"Pancreas"	"21100"	0.885	3385	36021202	10.347	3833	11.698
	"2006"	"2006"	"California"	"06"	"Lung and Bronchus"	"22030"	0.755	13199	36021202	40.879	17599	54.174
	"2006"	"2006"	"California"	"06"	"Melanoma of the Skin"	"25010"	0.133	890	36021202	2.659	6809	19.923
	"2006"	"2006"	"California"	"06"	"Female Breast"	"26000-Female"	0.185	4179	18097471	22.462	22181	121.214
	"2006"	"2006"	"California"	"06"	"Corpus Uteri"	"27020"	0.072	287	18097471	1.555	4000	21.606
